"rt","response","trial_type","trial_index","plugin_version","time_elapsed","stimulus","stim","noiseDots"
"3386","{}","survey-html-form","0","2.0.0","3387","","",""
"null","null","html-keyboard-response","1","2.0.0","6590","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","[""I_am_happy_M_B_LRflipped.txt"",""I_am_happy_M_A_LRflipped.txt""]","55"
"3741","1","html-button-response","2","2.0.0","10333","<p style=""text-align: center;"">Press a button!</p>","",""
"null","null","html-button-response","3","2.0.0","15335","<p style=""text-align: center;"">Rate your confidence:</p>","",""
"null","null","html-keyboard-response","4","2.0.0","18537","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","[""I_am_angry_M_B_LRflipped.txt"",""I_am_angry_F_A_LRflipped.txt""]","70"
"6055","0","html-button-response","5","2.0.0","24593","<p style=""text-align: center;"">Press a button!</p>","",""
"2607","1","html-button-response","6","2.0.0","27201","<p style=""text-align: center;"">Rate your confidence:</p>","",""
"null","null","html-keyboard-response","7","2.0.0","30403","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","[""I_am_angry_F_B_LRflipped.txt"",""I_am_angry_M_A_LRflipped.txt""]","70"
"5562","1","html-button-response","8","2.0.0","35966","<p style=""text-align: center;"">Press a button!</p>","",""
"4144","2","html-button-response","9","2.0.0","40111","<p style=""text-align: center;"">Rate your confidence:</p>","",""
"null","null","html-keyboard-response","10","2.0.0","43313","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","[""I_am_angry_F_B_LRflipped.txt"",""I_am_angry_F_A_LRflipped.txt""]","55"
"4644","0","html-button-response","11","2.0.0","47958","<p style=""text-align: center;"">Press a button!</p>","",""
"1451","1","html-button-response","12","2.0.0","49410","<p style=""text-align: center;"">Rate your confidence:</p>","",""
"null","null","html-keyboard-response","13","2.0.0","52611","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","[""I_am_angry_M_B_LRflipped.txt"",""I_am_angry_M_A_LRflipped.txt""]","10"
"1143","1","html-button-response","14","2.0.0","53756","<p style=""text-align: center;"">Press a button!</p>","",""
"1192","3","html-button-response","15","2.0.0","54948","<p style=""text-align: center;"">Rate your confidence:</p>","",""
"null","null","html-keyboard-response","16","2.0.0","58150","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","[""I_am_happy_F_B_LRflipped.txt"",""I_am_happy_M_A_LRflipped.txt""]","25"
"3550","0","html-button-response","17","2.0.0","61700","<p style=""text-align: center;"">Press a button!</p>","",""
"827","2","html-button-response","18","2.0.0","62528","<p style=""text-align: center;"">Rate your confidence:</p>","",""
"null","null","html-keyboard-response","19","2.0.0","65730","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","[""I_am_happy_F_B_LRflipped.txt"",""I_am_happy_F_A_LRflipped.txt""]","10"
"3726","1","html-button-response","20","2.0.0","69458","<p style=""text-align: center;"">Press a button!</p>","",""
"1667","1","html-button-response","21","2.0.0","71125","<p style=""text-align: center;"">Rate your confidence:</p>","",""
"null","null","html-keyboard-response","22","2.0.0","74327","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","[""I_am_happy_M_B_LRflipped.txt"",""I_am_happy_F_A_LRflipped.txt""]","25"
"2518","1","html-button-response","23","2.0.0","76845","<p style=""text-align: center;"">Press a button!</p>","",""
"752","2","html-button-response","24","2.0.0","77598","<p style=""text-align: center;"">Rate your confidence:</p>","",""
