"rt","stimulus","response","trial_type","trial_index","plugin_version","time_elapsed","stim","noiseDots"
"null","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","null","html-keyboard-response","0","2.0.0","3204","[""look_floor_F_A_inverted.txt"",""look_floor_F_B_inverted.txt""]","70"
"1260","<p style=""text-align: center;"">Press a button!</p>","1","html-button-response","1","2.0.0","4467","",""
"4159","<p style=""text-align: center;"">Rate your confidence:</p>","1","html-button-response","2","2.0.0","8627","",""
"null","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","null","html-keyboard-response","3","2.0.0","11829","[""look_floor_M_A.txt"",""look_floor_M_B.txt""]","115"
"1451","<p style=""text-align: center;"">Press a button!</p>","0","html-button-response","4","2.0.0","13281","",""
"925","<p style=""text-align: center;"">Rate your confidence:</p>","1","html-button-response","5","2.0.0","14208","",""
"null","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","null","html-keyboard-response","6","2.0.0","17410","[""look_floor_M_A_inverted.txt"",""look_floor_M_B_inverted.txt""]","130"
"1654","<p style=""text-align: center;"">Press a button!</p>","0","html-button-response","7","2.0.0","19066","",""
"632","<p style=""text-align: center;"">Rate your confidence:</p>","1","html-button-response","8","2.0.0","19700","",""
"null","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","null","html-keyboard-response","9","2.0.0","22901","[""look_ceiling_F_A_inverted.txt"",""look_ceiling_F_B_inverted.txt""]","85"
"2649","<p style=""text-align: center;"">Press a button!</p>","1","html-button-response","10","2.0.0","25552","",""
"3570","<p style=""text-align: center;"">Rate your confidence:</p>","2","html-button-response","11","2.0.0","29124","",""
"null","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","null","html-keyboard-response","12","2.0.0","32327","[""look_ceiling_M_A_inverted.txt"",""look_ceiling_M_B_inverted.txt""]","70"
"1460","<p style=""text-align: center;"">Press a button!</p>","0","html-button-response","13","2.0.0","33789","",""
"673","<p style=""text-align: center;"">Rate your confidence:</p>","0","html-button-response","14","2.0.0","34464","",""
"null","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","null","html-keyboard-response","15","2.0.0","37665","[""look_ceiling_F_A.txt"",""look_ceiling_F_B.txt""]","130"
"1259","<p style=""text-align: center;"">Press a button!</p>","0","html-button-response","16","2.0.0","38925","",""
"837","<p style=""text-align: center;"">Rate your confidence:</p>","0","html-button-response","17","2.0.0","39764","",""
"null","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","null","html-keyboard-response","18","2.0.0","42966","[""look_ceiling_M_A.txt"",""look_ceiling_M_B.txt""]","85"
"836","<p style=""text-align: center;"">Press a button!</p>","0","html-button-response","19","2.0.0","43804","",""
"665","<p style=""text-align: center;"">Rate your confidence:</p>","0","html-button-response","20","2.0.0","44470","",""
"null","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","null","html-keyboard-response","21","2.0.0","47672","[""look_floor_F_A.txt"",""look_floor_F_B.txt""]","115"
"12365","<p style=""text-align: center;"">Press a button!</p>","1","html-button-response","22","2.0.0","60038","",""
"625","<p style=""text-align: center;"">Rate your confidence:</p>","2","html-button-response","23","2.0.0","60664","",""
