"rt","response","trial_type","trial_index","plugin_version","time_elapsed","stimulus","stim","resp","slider_start"
"4958","{}","survey-html-form","0","2.0.0","4962","","","",""
"null","null","html-keyboard-response","1","2.0.0","8165","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","[""help_yourself_M_A.txt"",""help_yourself_M_B.txt""]","[""help yourself"",""look at<br>the ceiling""]",""
"4473","8","html-slider-response","2","2.0.0","12640","<p style=""text-align: center;"">Indicate your response!</p>","","","50"
"null","null","html-keyboard-response","3","2.0.0","15843","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","[""which_one_M_A.txt"",""which_one_M_B.txt""]","[""move it"",""which one?""]",""
"2338","74","html-slider-response","4","2.0.0","18183","<p style=""text-align: center;"">Indicate your response!</p>","","","50"
"null","null","html-keyboard-response","5","2.0.0","21386","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","[""come_closer_M_A.txt"",""come_closer_M_B.txt""]","[""come closer"",""pick up""]",""
"3137","2","html-slider-response","6","2.0.0","24526","<p style=""text-align: center;"">Indicate your response!</p>","","","50"
"null","null","html-keyboard-response","7","2.0.0","27729","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","[""no_M_A.txt"",""no_M_B.txt""]","[""no"",""give me""]",""
"3366","6","html-slider-response","8","2.0.0","31097","<p style=""text-align: center;"">Indicate your response!</p>","","","50"
"null","null","html-keyboard-response","9","2.0.0","34299","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","[""give_me_M_A.txt"",""give_me_M_B.txt""]","[""go over there"",""give me""]",""
"3805","96","html-slider-response","10","2.0.0","38107","<p style=""text-align: center;"">Indicate your response!</p>","","","50"
"null","null","html-keyboard-response","11","2.0.0","41308","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","[""this_tall_M_A.txt"",""this_tall_M_B.txt""]","[""this tall"",""give me""]",""
"2902","0","html-slider-response","12","2.0.0","44213","<p style=""text-align: center;"">Indicate your response!</p>","","","50"
"null","null","html-keyboard-response","13","2.0.0","47415","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","[""no_M_A.txt"",""no_M_B.txt""]","[""no"",""look at<br>the floor""]",""
"4208","9","html-slider-response","14","2.0.0","51626","<p style=""text-align: center;"">Indicate your response!</p>","","","50"
"null","null","html-keyboard-response","15","2.0.0","54829","<div id=""dot-container"" style=""position: relative; width: 40vw; height: 70vh;""></div>","[""this_tall_M_A.txt"",""this_tall_M_B.txt""]","[""this tall"",""I am angry""]",""
"2429","0","html-slider-response","16","2.0.0","57259","<p style=""text-align: center;"">Indicate your response!</p>","","","50"
"1104","{}","survey-html-form","17","2.0.0","58365","","","",""
